Custom_Time_Name,"Custom_Time_Code","Country Name","Country Code","GDP per capita, PPP (constant 2011 international $) [NY.GDP.PCAP.PP.KD]","Individuals using the Internet (% of population) [IT.NET.USER.ZS]","Railways, passengers carried (million passenger-km) [IS.RRS.PASG.KM]","Air transport, passengers carried [IS.AIR.PSGR]","Air transport, registered carrier departures worldwide [IS.AIR.DPRT]","Central government debt, total (% of GDP) [GC.DOD.TOTL.GD.ZS]","Tax revenue (% of GDP) [GC.TAX.TOTL.GD.ZS]","CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high) [IQ.CPA.TRAN.XQ]","UHC service coverage index [SH.UHC.SRVS.CV.XD]"
Most Recent Value,"(Most Recent Value)","Palau","PLW","16424.5518374085(2018)","..","..","..","..","67.5444910397514(2016)","21.2900404310933(2018)","..",".."
Most Recent Value,"(Most Recent Value)","Panama","PAN","22674.3990441347(2018)","57.8650900656079(2017)","..","12939350(2018)","119148(2018)","..","..","..","79(2017)"
Most Recent Value,"(Most Recent Value)","Papua New Guinea","PNG","3847.65237015163(2018)","11.2091965928578(2017)","..","964713(2018)","41545.1707849472(2018)","29.8753777260463(2015)","13.5964488267056(2018)","3(2018)","40(2017)"
Most Recent Value,"(Most Recent Value)","Paraguay","PRY","12067.5362699846(2018)","64.9935430235756(2018)","..","560631(2018)","4215(2018)","..","9.95347006736508(2017)","..","69(2017)"
Most Recent Value,"(Most Recent Value)","Peru","PER","12793.494870612(2018)","52.5403101713654(2018)","..","17758527.272(2018)","141025.363(2018)","23.1832496081886(2016)","13.1852317397569(2017)","..","77(2017)"
Most Recent Value,"(Most Recent Value)","Philippines","PHL","7942.50985686291(2018)","60.0547603336913(2017)","384(2016)","43080118(2018)","292450(2018)","45.3946271793812(2014)","14.7238548282603(2018)","..","61(2017)"
Most Recent Value,"(Most Recent Value)","Poland","POL","28785.5414230344(2018)","77.5417345350006(2018)","9466.3(2016)","9277538(2018)","123903(2018)","..","16.8109798715763(2017)","..","75(2017)"
Most Recent Value,"(Most Recent Value)","Portugal","PRT","28999.3730926755(2018)","74.6609681128324(2018)","4032.713(2017)","17367956(2018)","182753(2018)","..","22.4606392711588(2017)","..","82(2017)"
Most Recent Value,"(Most Recent Value)","Puerto Rico","PRI","35085.2973139475(2018)","70.59787359(2017)","..","..","..","..","..","..",".."
Most Recent Value,"(Most Recent Value)","Qatar","QAT","112599.972537395(2018)","99.6528491261175(2018)","..","29178923(2018)","197811(2018)","..","..","..","68(2017)"
Most Recent Value,"(Most Recent Value)","Romania","ROU","24538.077550491(2018)","70.6812779273268(2018)","5365.914(2017)","4908235(2018)","55637(2018)","..","15.4396973897876(2017)","..","74(2017)"
